fish_id,station,dist_mean,dist_sd,dist_var_coef,step_mean,step_max,temperature,shift_duration,shift,day,shift_id
EM0004,TOR05,61.23,10.1,0.16,9.36,24.52,23.207,5,"[13,18)",15/10/2021,"2021-10-15 [13,18)"
EM0003,TOR05,123.12,2.68,0.02,2.89,7.37,23.22,5,"[13,18)",15/10/2021,"2021-10-15 [13,18)"
EM0002,TOR05,61.55,7.62,0.12,8.27,28.18,23.222,5,"[13,18)",15/10/2021,"2021-10-15 [13,18)"
EM0008,TOR05,104.92,3.84,0.04,2.43,11.05,23.225,5,"[13,18)",15/10/2021,"2021-10-15 [13,18)"
EM0007,TOR05,142.09,11.08,0.08,2.53,6.53,23.2,5,"[13,18)",15/10/2021,"2021-10-15 [13,18)"
EM0008,TOR05,99.52,11.19,0.11,6.17,30.33,23.257,4,"[19,23)",15/10/2021,"2021-10-15 [19,23)"
EM0003,TOR05,121.69,5.54,0.05,5.03,11.88,23.25,4,"[19,23)",15/10/2021,"2021-10-15 [19,23)"
EM0006,TOR05,69.53,7.44,0.11,6.24,32.65,23.241,4,"[19,23)",15/10/2021,"2021-10-15 [19,23)"
EM0005,TOR05,105.34,8.1,0.08,8.93,19.09,23.257,4,"[19,23)",15/10/2021,"2021-10-15 [19,23)"
EM0004,TOR05,55.38,10.22,0.18,5.41,27.43,23.236,4,"[19,23)",15/10/2021,"2021-10-15 [19,23)"
EM0002,TOR05,78.26,7.86,0.1,5.87,17.68,23.26,4,"[19,23)",15/10/2021,"2021-10-15 [19,23)"
EM0007,TOR05,133.63,15.13,0.11,11.66,34.7,23.23,4,"[19,23)",15/10/2021,"2021-10-15 [19,23)"
EM0001,TOR05,149.14,15.36,0.1,20.28,59.87,23.256,4,"[19,23)",15/10/2021,"2021-10-15 [19,23)"
EM0006,TOR05,56.18,6.53,0.12,3.95,14.41,23.1,3,"[8,11)",16/10/2021,"2021-10-16 [8,11)"
EM0005,TOR05,107.04,3.59,0.03,3.62,8.18,23.094,3,"[8,11)",16/10/2021,"2021-10-16 [8,11)"
EM0004,TOR05,58.78,6.07,0.1,7.16,22.7,23.095,3,"[8,11)",16/10/2021,"2021-10-16 [8,11)"
EM0008,TOR05,97.91,2.85,0.03,5.14,40.18,23.1,3,"[8,11)",16/10/2021,"2021-10-16 [8,11)"
EM0002,TOR05,81.4,20.79,0.26,11.41,43.61,23.1,3,"[8,11)",16/10/2021,"2021-10-16 [8,11)"
EM0003,TOR05,121.09,7.92,0.07,7.4,11.64,23.075,3,"[8,11)",16/10/2021,"2021-10-16 [8,11)"
EM0001,TOR05,128.41,11.32,0.09,1.97,4.94,23.05,3,"[8,11)",16/10/2021,"2021-10-16 [8,11)"
EM0002,TOR05,62.95,2.61,0.04,2.52,4.66,23.15,2,"[11,13)",16/10/2021,"2021-10-16 [11,13)"
