day,hora,divers
22/06/2021,"[8,11)",29
23/06/2021,"[11,13)",44
23/06/2021,"[13,18)",44
23/06/2021,"[19,23)",0
23/06/2021,"[8,11)",32
24/06/2021,"[11,13)",42
24/06/2021,"[13,18)",32
24/06/2021,"[19,23)",20
24/06/2021,"[8,11)",43
25/06/2021,"[11,13)",44
25/06/2021,"[13,18)",44
25/06/2021,"[19,23)",0
25/06/2021,"[8,11)",44
26/06/2021,"[11,13)",44
26/06/2021,"[13,18)",44
26/06/2021,"[19,23)",0
26/06/2021,"[8,11)",44
27/06/2021,"[11,13)",40
27/06/2021,"[13,18)",24
27/06/2021,"[19,23)",0
27/06/2021,"[8,11)",40
28/06/2021,"[11,13)",24
28/06/2021,"[13,18)",24
28/06/2021,"[19,23)",0
28/06/2021,"[8,11)",24
29/06/2021,"[11,13)",46
29/06/2021,"[13,18)",34
29/06/2021,"[19,23)",0
29/06/2021,"[8,11)",35
30/06/2021,"[11,13)",44
30/06/2021,"[13,18)",44
30/06/2021,"[19,23)",12
30/06/2021,"[8,11)",44
01/07/2021,"[11,13)",43
01/07/2021,"[13,18)",44
01/07/2021,"[19,23)",20
01/07/2021,"[8,11)",43
02/07/2021,"[11,13)",44
02/07/2021,"[13,18)",44
02/07/2021,"[19,23)",20
02/07/2021,"[8,11)",44
03/07/2021,"[11,13)",46
03/07/2021,"[13,18)",46
03/07/2021,"[19,23)",0
03/07/2021,"[8,11)",44
04/07/2021,"[11,13)",46
04/07/2021,"[13,18)",46
04/07/2021,"[19,23)",0
04/07/2021,"[8,11)",46
05/07/2021,"[11,13)",24
05/07/2021,"[13,18)",24
05/07/2021,"[19,23)",0
05/07/2021,"[8,11)",24
06/07/2021,"[11,13)",42
06/07/2021,"[13,18)",44
06/07/2021,"[19,23)",0
06/07/2021,"[8,11)",43
07/07/2021,"[11,13)",44
07/07/2021,"[13,18)",44
07/07/2021,"[19,23)",12
07/07/2021,"[8,11)",44
08/07/2021,"[11,13)",44
08/07/2021,"[13,18)",44
08/07/2021,"[19,23)",20
08/07/2021,"[8,11)",44
09/07/2021,"[11,13)",44
09/07/2021,"[13,18)",44
09/07/2021,"[19,23)",44
09/07/2021,"[8,11)",44
10/07/2021,"[11,13)",46
10/07/2021,"[13,18)",46
10/07/2021,"[19,23)",0
10/07/2021,"[8,11)",46
11/07/2021,"[11,13)",46
11/07/2021,"[13,18)",32
11/07/2021,"[19,23)",0
11/07/2021,"[8,11)",36
12/07/2021,"[11,13)",24
12/07/2021,"[13,18)",24
12/07/2021,"[19,23)",0
12/07/2021,"[8,11)",24
13/07/2021,"[11,13)",45
13/07/2021,"[13,18)",34
13/07/2021,"[19,23)",0
13/07/2021,"[8,11)",45
14/07/2021,"[11,13)",24
14/07/2021,"[13,18)",34
14/07/2021,"[19,23)",12
14/07/2021,"[8,11)",12
15/07/2021,"[11,13)",43
15/07/2021,"[13,18)",43
15/07/2021,"[19,23)",20
15/07/2021,"[8,11)",43
16/07/2021,"[11,13)",34
16/07/2021,"[13,18)",46
16/07/2021,"[19,23)",10
16/07/2021,"[8,11)",34
17/07/2021,"[11,13)",44
17/07/2021,"[13,18)",44
17/07/2021,"[19,23)",20
17/07/2021,"[8,11)",44
18/07/2021,"[11,13)",46
18/07/2021,"[13,18)",34
18/07/2021,"[19,23)",0
18/07/2021,"[8,11)",46
19/07/2021,"[11,13)",24
19/07/2021,"[13,18)",24
19/07/2021,"[19,23)",0
19/07/2021,"[8,11)",24
20/07/2021,"[11,13)",44
20/07/2021,"[13,18)",44
20/07/2021,"[19,23)",0
20/07/2021,"[8,11)",44
21/07/2021,"[11,13)",44
21/07/2021,"[13,18)",43
21/07/2021,"[19,23)",0
21/07/2021,"[8,11)",44
22/07/2021,"[11,13)",43
22/07/2021,"[13,18)",20
22/07/2021,"[19,23)",20
22/07/2021,"[8,11)",43
23/07/2021,"[11,13)",44
23/07/2021,"[13,18)",44
23/07/2021,"[19,23)",32
23/07/2021,"[8,11)",44
24/07/2021,"[11,13)",44
24/07/2021,"[13,18)",44
24/07/2021,"[19,23)",0
24/07/2021,"[8,11)",44
25/07/2021,"[11,13)",46
25/07/2021,"[13,18)",10
25/07/2021,"[19,23)",0
25/07/2021,"[8,11)",46
26/07/2021,"[11,13)",24
26/07/2021,"[13,18)",24
26/07/2021,"[19,23)",0
26/07/2021,"[8,11)",24
27/07/2021,"[11,13)",45
27/07/2021,"[13,18)",44
27/07/2021,"[19,23)",20
27/07/2021,"[8,11)",45
28/07/2021,"[11,13)",44
28/07/2021,"[13,18)",44
28/07/2021,"[19,23)",12
28/07/2021,"[8,11)",44
29/07/2021,"[11,13)",43
29/07/2021,"[13,18)",32
29/07/2021,"[19,23)",20
29/07/2021,"[8,11)",43
30/07/2021,"[11,13)",34
30/07/2021,"[13,18)",44
30/07/2021,"[19,23)",32
30/07/2021,"[8,11)",34
31/07/2021,"[11,13)",44
31/07/2021,"[13,18)",44
31/07/2021,"[19,23)",0
31/07/2021,"[8,11)",44
01/08/2021,"[11,13)",44
01/08/2021,"[13,18)",20
01/08/2021,"[19,23)",12
01/08/2021,"[8,11)",44
02/08/2021,"[11,13)",24
02/08/2021,"[13,18)",24
02/08/2021,"[19,23)",0
02/08/2021,"[8,11)",24
03/08/2021,"[11,13)",45
03/08/2021,"[13,18)",34
03/08/2021,"[19,23)",12
03/08/2021,"[8,11)",45
04/08/2021,"[11,13)",44
04/08/2021,"[13,18)",44
04/08/2021,"[19,23)",32
04/08/2021,"[8,11)",44
05/08/2021,"[11,13)",43
05/08/2021,"[13,18)",44
05/08/2021,"[19,23)",20
05/08/2021,"[8,11)",43
06/08/2021,"[11,13)",44
06/08/2021,"[13,18)",46
06/08/2021,"[19,23)",22
06/08/2021,"[8,11)",44
07/08/2021,"[11,13)",44
07/08/2021,"[13,18)",44
07/08/2021,"[19,23)",0
07/08/2021,"[8,11)",44
08/08/2021,"[11,13)",45
08/08/2021,"[13,18)",20
08/08/2021,"[19,23)",0
08/08/2021,"[8,11)",45
09/08/2021,"[11,13)",48
09/08/2021,"[13,18)",24
09/08/2021,"[19,23)",0
09/08/2021,"[8,11)",24
10/08/2021,"[11,13)",45
10/08/2021,"[13,18)",44
10/08/2021,"[19,23)",0
10/08/2021,"[8,11)",45
11/08/2021,"[11,13)",44
11/08/2021,"[13,18)",44
11/08/2021,"[19,23)",24
11/08/2021,"[8,11)",44
12/08/2021,"[11,13)",44
12/08/2021,"[13,18)",44
12/08/2021,"[19,23)",20
12/08/2021,"[8,11)",42
13/08/2021,"[11,13)",34
13/08/2021,"[13,18)",34
13/08/2021,"[19,23)",22
13/08/2021,"[8,11)",34
14/08/2021,"[11,13)",46
14/08/2021,"[13,18)",46
14/08/2021,"[19,23)",0
14/08/2021,"[8,11)",44
15/08/2021,"[11,13)",44
15/08/2021,"[13,18)",20
15/08/2021,"[19,23)",0
15/08/2021,"[8,11)",44
16/08/2021,"[11,13)",24
16/08/2021,"[13,18)",34
16/08/2021,"[19,23)",0
16/08/2021,"[8,11)",24
17/08/2021,"[11,13)",45
17/08/2021,"[13,18)",44
17/08/2021,"[19,23)",24
17/08/2021,"[8,11)",45
18/08/2021,"[11,13)",44
18/08/2021,"[13,18)",44
18/08/2021,"[19,23)",12
18/08/2021,"[8,11)",44
19/08/2021,"[11,13)",39
19/08/2021,"[13,18)",46
19/08/2021,"[19,23)",32
19/08/2021,"[8,11)",35
20/08/2021,"[11,13)",44
20/08/2021,"[13,18)",44
20/08/2021,"[19,23)",32
20/08/2021,"[8,11)",44
21/08/2021,"[11,13)",46
21/08/2021,"[13,18)",46
21/08/2021,"[19,23)",0
21/08/2021,"[8,11)",46
22/08/2021,"[11,13)",44
22/08/2021,"[13,18)",20
22/08/2021,"[19,23)",0
22/08/2021,"[8,11)",39
23/08/2021,"[11,13)",24
23/08/2021,"[13,18)",24
23/08/2021,"[19,23)",0
23/08/2021,"[8,11)",24
24/08/2021,"[11,13)",45
24/08/2021,"[13,18)",44
24/08/2021,"[19,23)",0
24/08/2021,"[8,11)",44
25/08/2021,"[11,13)",44
25/08/2021,"[13,18)",44
25/08/2021,"[19,23)",11
25/08/2021,"[8,11)",44
26/08/2021,"[11,13)",45
26/08/2021,"[13,18)",46
26/08/2021,"[19,23)",20
26/08/2021,"[8,11)",45
27/08/2021,"[11,13)",44
27/08/2021,"[13,18)",46
27/08/2021,"[19,23)",20
27/08/2021,"[8,11)",44
28/08/2021,"[11,13)",44
28/08/2021,"[13,18)",44
28/08/2021,"[19,23)",0
28/08/2021,"[8,11)",44
29/08/2021,"[11,13)",46
29/08/2021,"[13,18)",10
29/08/2021,"[19,23)",0
29/08/2021,"[8,11)",46
30/08/2021,"[11,13)",24
30/08/2021,"[13,18)",24
30/08/2021,"[19,23)",0
30/08/2021,"[8,11)",24
31/08/2021,"[11,13)",45
31/08/2021,"[13,18)",34
31/08/2021,"[19,23)",12
31/08/2021,"[8,11)",45
01/09/2021,"[11,13)",44
01/09/2021,"[13,18)",46
01/09/2021,"[19,23)",12
01/09/2021,"[8,11)",44
02/09/2021,"[11,13)",34
02/09/2021,"[13,18)",46
02/09/2021,"[19,23)",10
02/09/2021,"[8,11)",24
03/09/2021,"[11,13)",45
03/09/2021,"[13,18)",46
03/09/2021,"[19,23)",22
03/09/2021,"[8,11)",45
04/09/2021,"[11,13)",46
04/09/2021,"[13,18)",46
04/09/2021,"[19,23)",0
04/09/2021,"[8,11)",46
05/09/2021,"[11,13)",41
05/09/2021,"[13,18)",10
05/09/2021,"[19,23)",0
05/09/2021,"[8,11)",41
06/09/2021,"[11,13)",24
06/09/2021,"[13,18)",24
06/09/2021,"[19,23)",0
06/09/2021,"[8,11)",24
07/09/2021,"[11,13)",44
07/09/2021,"[13,18)",44
07/09/2021,"[19,23)",0
07/09/2021,"[8,11)",44
08/09/2021,"[11,13)",44
08/09/2021,"[13,18)",44
08/09/2021,"[19,23)",0
08/09/2021,"[8,11)",44
09/09/2021,"[11,13)",45
